id,x_m,y_m,observed,xray_detected,max_visible_pixels,max_xray_pixels,max_visible_fraction
Othonna_001,249.109,302.953,False,False,0,0,0.000000
Othonna_002,-240.842,22.692,False,False,0,0,0.000000
Othonna_003,396.397,-91.335,False,False,0,0,0.000000
Othonna_004,135.843,-432.229,False,False,0,0,0.000000
Othonna_005,174.168,-225.917,False,False,0,0,0.000000
Othonna_006,-350.536,-175.048,False,False,0,0,0.000000
Othonna_007,440.747,-84.036,False,False,0,0,0.000000
Othonna_008,279.488,55.877,False,False,0,0,0.000000
Othonna_009,153.733,72.382,False,False,0,0,0.000000
Othonna_010,128.673,332.476,False,False,0,0,0.000000
Othonna_011,-55.378,-271.709,False,False,0,0,0.000000
Othonna_012,39.2,442.334,False,False,0,0,0.000000
Othonna_013,-198.169,-241.722,False,False,0,0,0.000000
Othonna_014,266.264,309.39,False,False,0,0,0.000000
Othonna_015,157.647,-284.67,False,False,0,0,0.000000
Othonna_016,24.822,-42.288,False,False,0,0,0.000000
Othonna_017,144.042,77.986,False,False,0,0,0.000000
Othonna_018,258.779,72.727,False,False,0,0,0.000000
Othonna_019,143.384,-178.193,False,False,0,0,0.000000
Othonna_020,133.057,259.812,False,False,0,0,0.000000
Othonna_021,233.319,438.885,False,False,0,0,0.000000
Othonna_022,-208.678,299.604,False,False,0,0,0.000000
Othonna_023,82.136,-370.132,False,False,0,0,0.000000
Othonna_024,-358.755,112.632,False,False,0,0,0.000000
Othonna_025,-222.754,288.076,False,False,0,0,0.000000
Othonna_026,16.487,-275.83,False,False,0,0,0.000000
Othonna_027,287.183,-447.721,False,False,0,0,0.000000
Othonna_028,-358.276,-154.263,False,False,0,0,0.000000
Othonna_029,282.127,-205.284,False,False,0,0,0.000000
Othonna_030,-26.185,235.236,False,False,0,0,0.000000
