instance_uid,foliage_actor,component_index,component_name,mesh_name,mesh_path,instance_index,x_cm,y_cm,z_cm,x_m,y_m,z_m,pitch_deg,yaw_deg,roll_deg,scale_x,scale_y,scale_z,ndvi_class,NDVI
InstancedFoliageActor|0|0,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,0,-33222.52734,-22922.52539,140.5097656,-332.2252734,-229.2252539,1.405097656,0,68.26441193,0,1,1,1,MEDIUM_TREE,0.604064
InstancedFoliageActor|0|1,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,1,-32085.15234,-22902.76367,188.90625,-320.8515234,-229.0276367,1.8890625,0,81.98644257,0,1,1,1,MEDIUM_TREE,0.598877
InstancedFoliageActor|0|2,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,2,-31700,-24822.47852,153.2060634,-317,-248.2247852,1.532060634,0,23.80348206,0,1,1,1,MEDIUM_TREE,0.609963
InstancedFoliageActor|0|3,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,3,-36320.1875,-17390.73828,55.12109375,-363.201875,-173.9073828,0.551210938,0,23.80348206,0,1,1,1,MEDIUM_TREE,0.756357
InstancedFoliageActor|0|4,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,4,-32100,-17842.07227,201.5498134,-321,-178.4207227,2.015498134,0,132.7379303,0,1,1,1,MEDIUM_TREE,0.607034
InstancedFoliageActor|0|5,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,5,-36300,-7441.230957,132.6679688,-363,-74.41230957,1.326679688,0,23.80348206,0,1,1,1,MEDIUM_TREE,0.360476
InstancedFoliageActor|0|6,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,6,-32155.05273,-7857.638184,122.5039063,-321.5505273,-78.57638184,1.225039063,0,132.7379303,0,1,1,1,MEDIUM_TREE,0.689817
InstancedFoliageActor|0|7,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,7,-37359.16406,1379.118164,153.5185547,-373.5916406,13.79118164,1.535185547,0,119.9486084,0,1,1,1,MEDIUM_TREE,0.581879
InstancedFoliageActor|0|8,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,8,-33234.09375,7050.025391,286.479501,-332.3409375,70.50025391,2.86479501,0,68.26441193,0,1,1,1,MEDIUM_TREE,0.590947
InstancedFoliageActor|0|9,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,9,-32108.5625,7116.75,296.5244141,-321.085625,71.1675,2.965244141,0,81.98644257,0,1,1,1,MEDIUM_TREE,0.650859
InstancedFoliageActor|0|10,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,10,-31740.88867,5177.524902,296.0585938,-317.4088867,51.77524902,2.960585938,0,23.80348206,0,1,1,1,MEDIUM_TREE,0.671814
InstancedFoliageActor|0|11,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,11,-31508.46484,3917.424561,242.7675781,-315.0846484,39.17424561,2.427675781,0,-115.3267059,0,1,1,1,MEDIUM_TREE,0.839441
InstancedFoliageActor|0|12,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,12,-30852.89453,2223.125488,222.9511719,-308.5289453,22.23125488,2.229511719,0,31.5993557,0,1,1,1,MEDIUM_TREE,0.748195
InstancedFoliageActor|0|13,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,13,-36320.19531,12600.00098,9.741613878,-363.2019531,126.0000098,0.097416139,0,23.80348206,0,1,1,1,MEDIUM_TREE,0.649891
InstancedFoliageActor|0|14,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,14,-32123.875,12161.78125,135.6943447,-321.23875,121.6178125,1.356943447,0,132.7379303,0,1,1,1,MEDIUM_TREE,0.497102
InstancedFoliageActor|0|15,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,15,-23900,-30900.05273,68.65528286,-239,-309.0005273,0.686552829,0,31.99600029,0,1,1,1,MEDIUM_TREE,0.447361
InstancedFoliageActor|0|16,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,16,-28284.24414,-27616.10156,62.39356306,-282.8424414,-276.1610156,0.623935631,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.674342
InstancedFoliageActor|0|17,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,17,-24600,-23500,270.2070313,-246,-235,2.702070313,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.865995
InstancedFoliageActor|0|18,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,18,-29100,-18699.99805,225.6884766,-291,-186.9999805,2.256884766,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.637498
InstancedFoliageActor|0|19,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,19,-28369.76758,-17669.76758,197.1982509,-283.6976758,-176.6976758,1.971982509,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.610862
InstancedFoliageActor|0|20,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,20,-28061.19336,-18900,275.2099609,-280.6119336,-189,2.752099609,0,96.508461,0,1,1,1,MEDIUM_TREE,0.725720
InstancedFoliageActor|0|21,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,21,-24588.83594,-13542.48047,154.5527344,-245.8883594,-135.4248047,1.545527344,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.368362
