id,x_m,y_m,ue_x_cm,ue_y_cm,yaw_deg,scale,perlin_score
Othonna_001,249.109,302.953,24910.9,30295.3,2.47,1.0,0.513099
Othonna_002,-240.842,22.692,-24084.2,2269.2,211.88,1.0,0.151124
Othonna_003,396.397,-91.335,39639.7,-9133.5,310.7,1.0,0.503409
Othonna_004,135.843,-432.229,13584.3,-43222.9,225.05,1.0,0.326106
Othonna_005,174.168,-225.917,17416.8,-22591.7,115.24,1.0,-0.150095
Othonna_006,-350.536,-175.048,-35053.6,-17504.8,330.5,1.0,-0.308359
Othonna_007,440.747,-84.036,44074.7,-8403.6,307.88,1.0,0.275266
Othonna_008,279.488,55.877,27948.8,5587.7,317.46,1.0,0.006246
Othonna_009,153.733,72.382,15373.3,7238.2,266.3,1.0,0.220114
Othonna_010,128.673,332.476,12867.3,33247.6,31.15,1.0,0.190847
Othonna_011,-55.378,-271.709,-5537.8,-27170.9,209.98,1.0,0.621687
Othonna_012,39.2,442.334,3920.0,44233.4,199.99,1.0,0.369894
Othonna_013,-198.169,-241.722,-19816.9,-24172.2,335.27,1.0,0.059218
Othonna_014,266.264,309.39,26626.4,30939.0,288.61,1.0,0.418442
Othonna_015,157.647,-284.67,15764.7,-28467.0,88.2,1.0,-0.250541
Othonna_016,24.822,-42.288,2482.2,-4228.8,272.71,1.0,0.14272
Othonna_017,144.042,77.986,14404.2,7798.6,135.38,1.0,0.183658
Othonna_018,258.779,72.727,25877.9,7272.7,136.82,1.0,-0.001296
Othonna_019,143.384,-178.193,14338.4,-17819.3,328.56,1.0,-0.360252
Othonna_020,133.057,259.812,13305.7,25981.2,28.85,1.0,0.296145
Othonna_021,233.319,438.885,23331.9,43888.5,61.21,1.0,0.005079
Othonna_022,-208.678,299.604,-20867.8,29960.4,149.23,1.0,0.270775
Othonna_023,82.136,-370.132,8213.6,-37013.2,159.74,1.0,0.24299
Othonna_024,-358.755,112.632,-35875.5,11263.2,327.1,1.0,0.430591
Othonna_025,-222.754,288.076,-22275.4,28807.6,227.93,1.0,0.283152
Othonna_026,16.487,-275.83,1648.7,-27583.0,206.04,1.0,0.383397
Othonna_027,287.183,-447.721,28718.3,-44772.1,258.17,1.0,-0.190352
Othonna_028,-358.276,-154.263,-35827.6,-15426.3,23.82,1.0,-0.297306
Othonna_029,282.127,-205.284,28212.7,-20528.4,190.01,1.0,0.263645
Othonna_030,-26.185,235.236,-2618.5,23523.6,246.78,1.0,0.112562
